,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,wlan_code_index,x(m),y(m),primary_channel,min_channel_allowed,max_channel_allowed,RSSI,SINR,average_airtime,throughput,deployment
0,0,10000.0,-79.34,-103.96,-119.98,-82.35,-94.85,-111.61,-122.95,-103.96,-111.61,-119.82,-130.96,0,10.0,10.0,4,4,5,-58.22666666666666,29.62,95.745,111.77,0.0
1,1,-79.34,10000.0,-82.35,-100.95,-91.84,-85.36,-94.85,-105.59,-108.6,-106.97,-108.6,-116.81,1,30.0,10.0,6,6,7,-55.365,30.275,89.63499999999999,111.11,0.0
2,2,-100.95,-79.34,10000.0,-79.34,-108.6,-94.85,-85.36,-88.83,-119.82,-111.61,-103.96,-105.59,2,50.0,10.0,0,0,3,-60.64611111111112,21.308333333333334,63.3625,77.72,0.0
3,3,-119.98,-100.95,-82.35,10000.0,-125.96,-111.61,-94.85,-79.34,-133.97,-122.83,-108.6,-100.95,3,70.0,10.0,2,2,3,-54.633076923076906,29.581538461538464,38.855,43.05,0.0
4,4,-79.34,-88.83,-108.6,-122.95,10000.0,-85.36,-106.97,-119.98,-82.35,-94.85,-108.6,-122.95,4,10.0,30.0,0,0,3,-58.99444444444445,25.08944444444445,41.935,79.87,0.0
5,5,-88.83,-79.34,-91.84,-105.59,-82.35,10000.0,-85.36,-100.95,-91.84,-85.36,-91.84,-105.59,5,30.0,30.0,0,0,7,-60.16666666666666,14.77222222222222,25.67,57.14,0.0
6,6,-105.59,-88.83,-82.35,-88.83,-103.96,-85.36,10000.0,-79.34,-108.6,-94.85,-82.35,-88.83,6,50.0,30.0,0,0,7,-58.83384615384615,17.233076923076922,15.73375,37.31,0.0
7,7,-122.95,-105.59,-91.84,-79.34,-122.99,-106.97,-85.36,10000.0,-125.96,-111.61,-91.84,-79.34,7,70.0,30.0,2,2,3,-56.74642857142857,25.46857142857143,45.435,48.08,0.0
8,8,-100.95,-105.59,-119.82,-130.96,-82.35,-94.85,-111.61,-122.95,10000.0,-85.36,-103.96,-119.98,8,10.0,50.0,0,0,3,-60.01500000000001,22.27428571428572,57.8275,90.93,0.0
9,9,-105.59,-100.95,-108.6,-116.81,-91.84,-85.36,-94.85,-105.59,-82.35,10000.0,-82.35,-100.95,9,30.0,50.0,0,0,7,-60.563333333333325,18.362,7.70875,21.43,0.0
10,10,-116.81,-105.59,-103.96,-105.59,-108.6,-94.85,-85.36,-88.83,-103.96,-85.36,10000.0,-79.34,10,50.0,50.0,0,0,3,-55.48615384615384,27.732307692307685,74.1325,185.09,0.0
